video_id,comments
g6Y6qXGH5iI,"['ski', '15:59 that there is a violation', 'We gotta apreciate simon for always being such a nice showleader', 'Yo Tobi was tooo quick with that unique. 100IQ moment', 'Never knew that JME is a dad 😂', '15:59 another hilariously offensive harry moment', 'I almost joked in my food when harry said jump', 'Simon may be Diss Prince but Tobijzl is the King of One-liners!', 'jme 😂😭', 'lmaoo 😭']"
eQ8htMVTC8g,"['What is that music between 29 and 30 minutes', 'need this with prox chat', 'Danny has to be the DUMBEST player🤦🏻\u200d♂️', 'I love pie in these Poor man keeps getting killed and cut off tho😭', 'Onions are the new garlic 😂', 'How did they get Joyner Lucas on?', '@TBJZL WE WATCH FOR THE CHAOS NOT THE GAMEPLAY', 'Harry: *knows who the imposters are\nAlso harry: Bez i think its u\n😂', 'If you invite and disrespectfully uninvite Danny in the future please. And take away harry from the game by not inviting. Great plans.', 'Tobi is correct we actually hurt if we watch the among us videos or we put a thumb or guess what was in the video and leave a reply and leave. How hurtful the group is to blind people who have to decipher the things or way you speak you lot lol.']"
_YRHU0acMkU,"['bath finally getting recognition', 'This is actually a political video', '11:16 The expert has Appeared', 'Lmao this is such a white persons game so doing a poc v white group was mad', 'It was a tough thing to distinguish whether or not to laugh or cry the whole video with incorrect answers being said and having a tough time deciphering. You messy dirty trickery you.', 'I thought the mouse, house and car one was Stuart little 😭😭', '9:17 iykyk good days', 'not me thinking the last one was red bull', ""i got zero lol i don't keep up on pop-culture so lot of these went over my head from that alone"", 'Nah Ethen is such a funny guy  without even trying 🤣🤣']"
sOPOoQsgoIo,"['can i play with you guys for a video pls', 'Vik and Ethan= dream team', 'That pinch was sick tho', '""see girls"" 😭😭 bro saying he doesnt have bitch*s 😭😭', 'I swear Simon was the better player, then it was Toby then Josh, what happened 😂', 'Can I 4v1', 'We need more of these videos again 🙏', ""dc'ed 🤣🤣"", 'I wish ksi was in the vid', 'colab with stimpy yess?']"
MYbQTNdUdPU,"[""I'm so sorry"", ""Please don't let Danny play with the sidemen anymore"", 'Behz was so innocent that whole time lol', 'Danny toxic as hell bru lmao', 'Lannon is amazing as Sheriff', 'Danny should never in a video again', 'Why is ksi click bait for all these among us videos its kinda annoying when you genuinely want to watch him play.', 'the turtle/vik crossover almost made me do a spit take lol', 'Murder mystery vibes', 'Can someone tell me Pie youtube name']"
M-4J8v7tqNo,"['Harry had the most zestiest movements', '2:30 men moment', 'I’m tired of the clickbait! 😂', 'Randy is goated😂 hes too funny', 'Ethan just can’t watch Mia Malkova. That would be unhealthy for him because Faith would absolutely wig him', ""Question about finding money is mad... the guys are rich enough, it's highly likely those people would need it far more then them"", 'vikk is the perfect man', 'Lost a lot of respect after they said porn isn’t bad. Wow', ""12:49 An that's the reason why KSI is more successful than the lot of you"", 'Pushing poo🤣🤣🤣']"
AtXe3DAxPZg,"['Another prime example of tobi being a Douche', 'man said ""do you see the gap"" lmao', 'Vik training in rocket league 🤣🤣', 'i like the lil vikstar123 cameo', 'Gay', ""How can you get this excited to know you're smarter than a 10 year old?! lol"", 'We want another one with ethan, randy and vik', 'The K in KSI stands for knowledge', '6:35 ffs 😭😭😭😭', '""vikkstar is now playing rocket league""']"
wBfruAkYnFs,"['Thanks for an incredible 9th year legends. Next year is our 10th which can only mean one thing: bigger and better. Love ya 💛', 'Game of Life video was  amazing, doesnt deserve stinker man', 'Behz and Harry are too bias to lux bro', 'Viks be lookin good in all white 😏', ""Probably an Unpopular Opinion but Sidemen Tinder with Logan wasn't that good honestly, would maybe put it around good. It just didn't hit the same as the others."", 'game of life > the cube', 'I thought the starting with 1 pound vid was a banger', 'Vik 🧐', 'You guys are nothing without KSI', 'JD needs to stop paying for adverts because im still not buying their shit. otherwise great video']"
w6eqbCLinB4,"['This video marks the end of Daily December on More Sidemen. Thank you all so much for the insane support. Should we make it an annual thing?  👀', 'Pie is actually such an Npc', 'come onn guys what a clickbait', 'LMAOOOOO I FUCKIN LOVE LAZAR 😂😂', 'Josh played jester pretty well', 'make more vids with dannny aarons pls🙏🙏🙏', ""Watching for the 12 time lol let's bring these among us videos out more frequently please hahaha  longer ones are the best lol"", ""I love Josh haha he's weird.  But he's my kinda weird lol"", ""Am I the only one who doesn't like randy and pie"", 'I love the way whenever Tobi finds a dead body he shrieks 😂']"
opu6Bl5IQHk,"['why is harry shaking all the time', 'Randy has to be one of the dumbest gamers ever', 'Where’s miniminter and KSI when they play always make me laugh next video please', '“Randolph is so shit” - Vikkstar123 (2019)\nMy guy legit stayed OUT of the mission area & had no idea why he lost…. 🤦\u200d♂️', '2:06 tobi sounds like cj from gta san andreas', 'eten', 'Unusual for Simon to miss a gta video feels word without the ""playlist"" wonder where he\'s at?', 'Bruh randy is dumb ass but E funny on 😅🤣😅', ""Wow I hope this guy doesn't have his driving licence, he s dangerous 😁"", 'thx']"
